Сталь;C;Si;Mn;Cr;Ni;Ti;Al;W;Mo;Nb;V;S;P;Cu;Co;Zr;Be;Se;N;Pb;Fe;Класс;Использование
36Х2Н2МФА;0,33 - 0,4;0,17 - 0,37;0,25 - 0,5;1,3 - 1,7;1,3 - 1,7;0;0;0;0,3 - 0,4;0;0,1 - 0,18;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: для крупных ответственных деталей-дисков, крепежных болтов и т. д.
38Х2Н2МА;0,33 - 0,4;0,17 - 0,37;0,25 - 0,5;1,3 - 1,7;1,3 - 1,7;0;0;0;0,2 - 0,3;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, шатуны, болты, шпильки и  другие крупные особо ответственные тяжелонагруженные детали сложной  конфигурации, применяемые в улучшенном состоянии.
38Х2Н3М;0,35 - 0,42;0,17 - 0,37;0,5 - 0,8;1 - 1,5;2,75 - 3,25;0;0;0;0,3 - 0,4;0;0;до 0,035;до 0,03;0;0;0;0;0;0;0;~94;Класс: Сталь конструкционная легированная;Использование в промышленности: ответственные детали контейнеров с высокими требованиями по механическим свойствам при повышенных температурах.
38Х2НМ;0,32 - 0,42;0,17 - 0,37;0,5 - 0,8;1,8 - 2,3;0,6 - 0,9;0;0;0;0,2 - 0,3;0;0;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: ответственные детали тяжелого и  транспортного машиностроения типа осей, валов и другие высоконагруженные  детали, а также детали, используемые в условиях низких температур.
38Х2НМФ;0,32 - 0,42;0,17 - 0,37;0,5 - 0,8;1,8 - 2,3;0,6 - 0,9;0;0;0;0,2 - 0,3;0;0,08 - 0,15;до 0,03;до 0,03;0;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: ответственные детали тяжелого и  транспортного машиностроения типа осей, валов и другие высоконагруженные  детали, а также детали, используемые в условиях низких температур
38Х2Ю;0,35 - 0,43;0,2 - 0,4;0,2 - 0,5;1,5 - 1,8;0;0;0,5 - 0,8;0;0;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: трущиеся детали приборов, детали вспомогательных узлов машин и приспособлений
38ХА;0,35 - 0,42;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;до 0,3;0;0;0;0;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: червяки, зубчатые колеса, шестерни, валы, оси, ответственные болты и другие улучшаемые детали.
38ХГМ;0,34 - 0,4;0,17 - 0,37;0,6 - 0,9;0,8 - 1,1;0;0;0;0;0,15 - 0,25;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: Нет данных о применении
38ХГН;0,35 - 0,43;0,17 - 0,37;0,8 - 1,1;0,5 - 0,8;0,7 - 1;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: детали экскаваторов, крепеж,  валы, оси, зубчатые колеса, серьги и другие ответственные детали, к  которым предъявляются требования повышенной прочности.
38ХГНМ;0,37 - 0,43;0,17 - 0,37;0,7 - 1;0,4 - 0,6;0,4 - 0,7;0;0;0;0,15 - 0,25;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: Нет данных о применении
38ХМ;0,35 - 0,42;0,17 - 0,37;0,35 - 0,65;0,9 - 1,3;0;0;0;0;0,2 - 0,3;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: ответственные детали турбин и компрессоров, работающие при температуре до 400 град.С
38ХМА;0,35 - 0,42;0,17 - 0,37;0,35 - 0,65;0,9 - 1,3;до 0,3;0;0;0;0,2 - 0,3;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: ответственные детали общего назначения в машиностроении.
38ХН3МА;0,33 - 0,4;0,17 - 0,37;0,25 - 0,5;0,8 - 1,2;2,75 - 3,25;0;0;0;0,2 - 0,3;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~94;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, оси, шестерни и другие крупные особо ответственные детали.
38ХН3МФА;0,33 - 0,4;0,17 - 0,37;0,25 - 0,5;1,2 - 1,5;3 - 3,5;0;0;0;0,35 - 0,45;0;0,1 - 0,18;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~93;Класс: Сталь конструкционная легированная;Использование в промышленности: наиболее ответственные тяжелонагруженные детали, работающие при температурах до 400 °С.
38ХС;0,34 - 0,42;1 - 1,4;0,3 - 0,6;1,3 - 1,6;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, шестерни, муфты, пальцы и  другие улучшаемые детали небольших размеров, к которым предъявляются  требования высокой прочности, упругости и износостойкости.
40Г;0,37 - 0,45;0,17 - 0,37;0,7 - 1;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: оси, коленчатые валы, шестерни,  штоки, бандажи, детали арматуры, шатуны, звездочки, распределительные  валики, головки плунжеров и другие детали, к которым предъявляются  требования повышенной прочности.
40Г2;0,36 - 0,44;0,17 - 0,37;1,4 - 1,8;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: оси, коленчатые валы, поршневые штоки, рычаги, распреде лительные валики, карданные валы, полуоси и другие детали.
40ГР;0,37 - 0,45;0,17 - 0,37;0,7 - 1;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: Нет данных о применении
40Х;0,36 - 0,44;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: оси, валы, вал-шестерни, плунжеры, штоки, коленчатые и кулачковые валы, кольца, шпиндели, оправки, рейки, губчатые венцы, болты, полуоси, втулки и другие улучшаемые детали повышенной прочности.
40Х2Н2МА;0,35 - 0,42;0,17 - 0,37;0,3 - 0,6;1,25 - 1,65;1,35 - 1,75;0;0;0;0,2 - 0,3;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: крупные изделия: валы, диски, редукторные шестерни, а также крепежные детали.
40ХГНМ;0,37 - 0,43;0,17 - 0,37;0,5 - 0,8;0,6 - 0,9;0,7 - 1,1;0;0;0;0,15 - 0,25;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: Нет данных о применении
40ХГТР;0,38 - 0,45;0,17 - 0,37;0,8 - 1;0,8 - 1,1;0;0,03 - 0,09;0;0;0;0;0;до 0,035;до 0,035;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, кулаки, звездочки, оси, рычаги, работающие в условиях трения и повышенных нагрузок в автотракторном и с/х машиностроении
40ХМФА;0,37 - 0,44;0,17 - 0,37;0,4 - 0,7;0,8 - 1,1;0;0;0;0;0,2 - 0,3;0;0,1 - 0,18;до 0,025;до 0,025;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: шлицевые валы, щтоки, шатуны, крепежные детали трубопроводов, работающие при температуре до 400 град.С
40ХН;0,36 - 0,44;0,17 - 0,37;0,5 - 0,8;0,45 - 0,75;1 - 1,4;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: оси, валы, шатуны, зубчатые  колеса, валы экскаваторов, муфты, валы-шестерни, шпиндели, болты,  рычаги, штоки, цилиндры и другие ответственные нагруженные детали,  подвергающиеся вибрационным и динами ческим нагрузкам, к которым  предъявляются требования повышенной прочности и вязкости. Валки  рельсобалочных и крупносортных станов для горячей прокатки металла.
40ХН2МА;0,37 - 0,44;0,17 - 0,37;0,5 - 0,8;0,6 - 0,9;1,25 - 1,65;0;0;0;0,15 - 0,25;0;0;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: коленчатые валы, клапаны, шатуны,  крышки шатунов, ответственные болты, шестерни, кулачковые муфты, диски и  другие тяжелонагруженные детали. Валки для холодной прокатки металлов.
40ХС;0,37 - 0,45;1,2 - 1,6;0,3 - 0,6;1,3 - 1,6;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, шестерни, муфты, пальцы и  другие улучшаемые детали небольших размеров, к которым предъявляются  требования высокой прочности, упругости, износостойкости.
40ХСН2МА;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Класс: Сталь конструкционная легированная;Использование в промышленности: для высоконагруженных деталей, не имеющих значительных концентраторов напряжения и работающих при температуре от -70 до 250°C
40ХФА;0,37 - 0,44;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;до 0,3;0;0;0;0;0;0,1 - 0,18;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;"Использование в промышленности: в улучшенном состоянии—шлицевые  валы, штоки, установочные винты, траверсы, валы экскаваторов и другие  детали, работающие при температуре до 400 °С; после закалки и низкого  отпуска — червячные валы и другие детали повышенной износостойкости."
45Г;0,42 - 0,5;0,17 - 0,37;0,7 - 1;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная ;Использование в промышленности: коленчатые валы, шатуны, оси,  карданные валы, тормозные рычаги, диски трения, зубчатые колеса,  шлицевые и шестеренные валы, анкерные болты.
45Г2;0,41 - 0,49;0,17 - 0,37;1,4 - 1,8;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: валы-шестерни, коленчатые и  карданные валы, полуоси, червяки, крышки шатунов, шатуны, звенья  конвейерных цепей и другие крупногабаритные средненагруженные детали.
45Х;0,41 - 0,49;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, шестерни, оси, болты, шатуны и другие детали, к которым предъявляются требования повышенной твердости, износостойкости, прочности и работающие при незначительных ударных нагрузках.
45ХН;0,41 - 0,49;0,17 - 0,37;0,5 - 0,8;0,45 - 0,75;1 - 1,4;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: коленчатые валы, шатуны, шестерни, шпиндели, муфты, болты и другие ответственные детали.
45ХН2МФА;0,42 - 0,5;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;1,3 - 1,8;0;0;0;0,2 - 0,3;0;0,1 - 0,18;до 0,025;до 0,025;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная легированная;Использование в промышленности: торсионные валы, коробки передач и  другие нагруженные детали, работающие при скручивающих  повторно-переменных нагрузках и испытывающие динамические нагрузки.
47ГТ;0,44 - 0,52;0,1 - 0,22;0,9 - 1,2;до 0,3;до 0,3;0,06 - 0,12;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная;Использование в промышленности: полуоси автомобилей.
50Г;0,48 - 0,56;0,17 - 0,37;0,7 - 1;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная легированная ;Использование в промышленности: диски трения, валы, шестерни,  шлицевые валы, шатуны, распределительные валики, втулки подшипников,  кривошипы, шпиндели, ободы маховиков, коленвалы дизелей и газовых  двигателей и другие детали, к которым предъявляются требования  повышенной прочности и износостойкости.
50Г2;0,46 - 0,55;0,17 - 0,37;1,4 - 1,8;до 0,3;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: шестерни, диски трения, шестеренные валы и другие детали, работающие на истирание.
50Х;0,46 - 0,54;0,17 - 0,37;0,5 - 0,8;0,8 - 1,1;до 0,3;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: валы, шпиндели, установочные  винты, крупные зубчатые колеса, редукторные валы, упорные кольца, валки  горячей прокатки и другие улучшаемые детали, к которым предъявляются  требования повышенной твердости, износостойкости, прочности и работающие  при незначительных ударных нагрузках.
50ХН;0,46 - 0,54;0,17 - 0,37;0,5 - 0,8;0,45 - 0,75;1 - 1,4;0;0;0;0;0;0;до 0,035;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная легированная;Использование в промышленности: валки для горячей прокатки,  валы-шестерни, зубчатые колеса, бандажи, коленчатые валы, шатуны, болты,  выпускные клапаны и другие крупные ответственные детали.
06Г2СЮ;0,05 - 0,08;0,4 - 0,6;1,4 - 1,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для изготовления деталей холодной пластической деформацией
06ХГСЮ;0,05 - 0,08;0,3 - 0,5;1,1 - 1,4;0,4 - 0,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для изготовления деталей холодной пластической деформацией
08Г2С;0,05 - 0,15;0,7 - 1;1,5 - 2,3;до 0,3;до 0,3;0;0;0;0;0;0;до 0,025;до 0,3;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры периодического профиля класса Ат -IVК, Ат -V, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
09Г2;до 0,12;0,17 - 0,37;1,4 - 1,8;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций ;Использование в промышленности: стойки ферм, верхние обвязки вагонов, хребтовые балки, двутавры и другие детали вагоностроения, детали экскаваторов, элементы сварных металлоконструкций и другие детали, работающие при температуре от -40 до +450 С.
09Г2Д;до 0,12;0,17 - 0,37;1,4 - 1,8;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: Металлические конструкции вагоностроения
09Г2С;до 0,12;0,5 - 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~96-97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: различные детали и элементы сварных металлоконструкций, работающих при температуре от —70 до +425°С под давлением.
09Г2СД;до 0,12;0,5 - 0,8;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
10Г2Б;до 0,12;0,17 - 0,37;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0,02 - 0,05;0;до 0,04;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
10Г2БД;до 0,12;0,17 - 0,37;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0,02 - 0,05;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных металлических конструкций.
10Г2С1;до 0,12;0,9 - 1,2;1,3 - 1,65;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: различные детали и элементы сварных металлоконструкций, работающие при температуре от -70 °С до +475 °С под давлением.
10Г2С1Д;до 0,12;0,8 - 1,1;1,3 - 1,65;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,012;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
10ГС2;0,08 - 0,14;1,6 - 2,1;1 - 1,5;до 0,3;до 0,3;0;0;0;0;0;0;до 0,045;до 0,045;до 0,3;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры периодического профиля класса Ат - IVК, Ат -V, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
10ГТ;до 0,13;0,45 - 0,65;1 - 1,4;до 0,3;до 0,3;0,015 - 0,03;0;0;0;0;0;до 0,045;до 0,04;до 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: изготовление арматуры класса Аc-II, предназначенной для армирования обычных и предварительно напряженных железобетонных конструкций
10ХГСН1Д;до 0,12;0,7 - 1;0,5 - 0,9;0,4 - 0,7;1,3 - 1,6;0;0;0;0;0;0;до 0,035;до 0,035;0,3 - 0,6;0;0;0;0;0;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для производства двухслойных листовых сталей
10ХНДП;до 0,12;0,17 - 0,37;0,3 - 0,6;0,5 - 0,8;0,3 - 0,6;0;0,08 - 0,15;0;0;0;0;до 0,04;0,07 - 0,12;0,3 - 0,5;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: в строительстве и машиностроении для сварных конструкций.
10ХСНД;до 0,12;0,8 - 1,1;0,5 - 0,8;0,6 - 0,9;0,5 - 0,8;0;0;0;0;0;0;до 0,04;до 0,035;0,4 - 0,6;0;0;0;0;до 0,008;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: элементы сварных металлоконструкций и различные детали, к которым предъявляются требования повышенной прочности и коррозионной стойкости с ограничением массы и работающие при температуре от —70 до 450 °С,
12Г2Б;0,1 - 0,16;0,17 - 0,37;1,3 - 1,65;до 0,3;до 0,3;0;0;0;0;0,02 - 0,04;0;до 0,04;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
12Г2СМФ;0,09 - 0,15;0,4 - 0,7;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0,15 - 0,25;0;0,07 - 0,15;до 0,035;до 0,035;до 0,03;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: пролетные строения железнодорожных мостов
12ГН2МФАЮ;0,09 - 0,16;0,4 - 0,6;0,9 - 1,3;до 0,5;1,4 - 1,7;0;0,05 - 0,1;0;0,15 - 0,25;0;0,05 - 0,1;до 0,035;до 0,035;до 0,03;0;0;0;0;0,02 - 0,03;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: пролетные строения крупных мостов, напорные трубопроводы ГЭС, рабочее оборудование экскаваторов
12ГС;0,09 - 0,15;0,5 - 0,8;0,8 - 1,2;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: детали, изготовляемые путем вытяжки, ковки, штамповки.
12ХГН2МФБАЮ;0,09 - 0,16;0,3 - 0,5;0,9 - 1,3;0,5 - 0,9;1,4 - 1,7;0;0,05 - 0,1;0;0,3 - 0,4;0,02 - 0,06;0,05 - 0,1;до 0,035;до 0,035;0;0;0;0;0;0,02 - 0,03;0;~95;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций ответственного назначения
14Г2;0,12 - 0,18;0,17 - 0,37;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для крупных листовых конструкций, работающих до температур —70°С.
14Г2АФ;0,12 - 0,18;0,3 - 0,6;1,2 - 1,6;до 0,4;до 0,3;0;0;0;0;0;0,07 - 0,12;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: металлоконструкции для промышленных зданий, подкрановые фермы для мостовых кранов.
14Г2АФД;0,12 - 0,18;0,3 - 0,6;1,2 - 1,6;до 0,4;до 0,3;0;0;0;0;0;0,07 - 0,12;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: металлоконструкции мостов
14ХГС;0,11 - 0,16;0,4 - 0,7;0,9 - 1,3;0,5 - 0,8;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: сварные конструкции, листовые, клепанные конструкционные детали.
15Г2АФД;0,12 - 0,18;до 0,17;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;0,2 - 0,4;0;0;0;0;0,015 - 0,03;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
15Г2АФДпс;0,12 - 0,18;до 0,17;1,2 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;0,2 - 0,4;0;0;0;0;0,015 - 0,3;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: ответственные сварные конструкции, в том числе северного исполнения.
15Г2СФ;0,12 - 0,18;0,4 - 0,7;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,005 - 0,1;до 0,04;до 0,035;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
15Г2СФД;0,12 - 0,18;0,4 - 0,7;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,05 - 0,1;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;до 0,008;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных металлических конструкций в строительстве и машиностроении.
15ГС;0,12 - 0,18;0,7 - 1;0,9 - 1,3;до 0,3;до 0,3;0;0;0;0;0;0;до 0,03;до 0,04;до 0,3;0;0;0;0;0;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: стационарные трубопроводы питательной воды котлов СВП, работающие при температуре 280 град.С
15ГФ;0,12 - 0,18;0,17 - 0,37;0,9 - 1,2;до 0,3;до 0,3;0;0;0;0;0;0,05 - 0,12;до 0,04;до 0,035;до 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для листовых сварных конструкций вагоностроения
15ГФД;0,12 - 0,18;0,17 - 0,37;0,9 - 1,2;до 0,3;до 0,3;0;0;0;0;0;0,05 - 0,12;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: листовые сварные конструкции вагоностроения
15ХСНД;0,12 - 0,18;0,4 - 0,7;0,4 - 0,7;0,6 - 0,9;0,3 - 0,6;0;0;0;0;0;0;до 0,04;до 0,035;0,2 - 0,4;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: элементы сварных металлоконструкций и различные детали, к которым предъявляются требования повышенной прочности и коррозионной стойкости с ограничением массы и работающие при температуре от -70 до +450°С
16Г2АФ;0,14 - 0,2;0,3 - 0,6;1,3 - 1,7;до 0,4;до 0,3;0;0;0;0;0;0,08 - 0,14;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,025;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: металлоконструкции, сварные фермы для изделий машиностроения.
16Г2АФД;0,14 - 0,2;0,3 - 0,6;1,3 - 1,7;до 0,4;до 0,3;0;0;0;0;0;0,08 - 0,14;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,03;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
16ГС;0,12 - 0,18;0,4 - 0,7;0,9 - 1,2;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: детали и части паровых котлов и сосудов, работающих под давлением. Корпуса аппаратов, днища, фланцы и др. детали, работающие при температурах от-40 до +475 град. под давлением. Элементы сварных металлоконструкций, работающие при температуре -70 °С.
16Д;0,1 - 0,18;0,12 - 0,25;0,4 - 0,7;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;0,2 - 0,35;0;0;0;0;0;0;~98;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: прокат, предназначенный для изготовления мостовых конструкций
17Г1С;0,15 - 0,2;0,4 - 0,6;1,15 - 1,6;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~96;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: сварные детали, работающие под давлением при температуре от -40 до +475 °С.
17ГС;0,14 - 0,2;0,4 - 0,6;1 - 1,4;до 0,3;до 0,3;0;0;0;0;0;0;до 0,04;до 0,035;до 0,3;0;0;0;0;до 0,008;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: корпуса аппаратов, днища, фланцы и другие сварные детали, работающие под давлением при температурах от -40 до +475 °С.
18Г2АФ;0,14 - 0,22;до 0,17;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;до 0,3;0;0;0;0;0,015 - 0,03;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
18Г2АФД;0,14 - 0,22;до 0,17;1,3 - 1,7;до 0,3;до 0,3;0;0;0;0;0;0,08 - 0,15;до 0,04;до 0,035;0,15 - 0,3;0;0;0;0;0,015 - 0,03;0;~97;Класс: Сталь конструкционная низколегированная для сварных конструкций;Использование в промышленности: для сварных конструкций
